epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,13907.9,0.76855,0.69093,1.20872,0.73449,0.66926,0.78295,0.4826,0.93696,0.71078,1.24729,0.000546749,0.000546749,0.000546749
133,14012.3,0.78942,0.69448,1.23563,0.75307,0.62903,0.75238,0.47236,0.93425,0.71572,1.23931,0.000533064,0.000533064,0.000533064
134,14116.5,0.75213,0.67806,1.18903,0.72398,0.69804,0.7684,0.47928,0.98297,0.76975,1.2864,0.000519496,0.000519496,0.000519496
135,14218.2,0.79687,0.65817,1.20076,0.76197,0.6712,0.76985,0.47132,0.96738,0.73311,1.27558,0.000506049,0.000506049,0.000506049
136,14319.1,0.77723,0.68736,1.20379,0.76653,0.63546,0.77051,0.48382,0.94189,0.66763,1.26817,0.000492726,0.000492726,0.000492726
137,14432.5,0.78103,0.65769,1.18256,0.72907,0.67742,0.77779,0.49121,0.9449,0.69324,1.2643,0.000479531,0.000479531,0.000479531
138,14537.7,0.77712,0.67249,1.20084,0.71547,0.66129,0.74879,0.47816,0.93356,0.71078,1.25783,0.000466467,0.000466467,0.000466467
139,14657.1,0.75041,0.65172,1.18037,0.68893,0.64516,0.74818,0.48321,0.96739,0.73935,1.29746,0.000453537,0.000453537,0.000453537
140,14768.8,0.77696,0.63277,1.21642,0.66113,0.67742,0.7373,0.47444,0.98684,0.68886,1.31047,0.000440745,0.000440745,0.000440745
141,14884.5,0.80624,0.65028,1.21403,0.72444,0.65725,0.76449,0.47616,0.98726,0.6635,1.33171,0.000428093,0.000428093,0.000428093
142,14996.4,0.77583,0.68455,1.19262,0.75895,0.6602,0.77656,0.4906,0.97219,0.70422,1.30944,0.000415584,0.000415584,0.000415584
143,15110.9,0.76154,0.73023,1.17808,0.75344,0.69006,0.7718,0.48994,0.95885,0.63672,1.28894,0.000403222,0.000403222,0.000403222
144,15226.8,0.72893,0.60494,1.17906,0.77351,0.67742,0.78465,0.49706,0.9514,0.68213,1.27819,0.00039101,0.00039101,0.00039101
145,15333.9,0.74492,0.61124,1.17901,0.76826,0.69511,0.79098,0.49202,0.95063,0.63997,1.28047,0.00037895,0.00037895,0.00037895
146,15440.2,0.74273,0.64768,1.18865,0.76965,0.69355,0.794,0.49393,0.95711,0.64361,1.28075,0.000367046,0.000367046,0.000367046
147,15537.1,0.71535,0.58195,1.15461,0.78811,0.66129,0.79099,0.49633,0.96066,0.6514,1.27041,0.000355301,0.000355301,0.000355301
148,15638.9,0.75982,0.65856,1.18076,0.73148,0.72497,0.7874,0.50016,0.95608,0.67133,1.27265,0.000343718,0.000343718,0.000343718
149,15739.7,0.77179,0.64623,1.20747,0.77545,0.66839,0.78807,0.49366,0.94061,0.66867,1.2643,0.000332298,0.000332298,0.000332298
150,15842,0.72694,0.61596,1.1786,0.81569,0.64246,0.78671,0.49333,0.95019,0.68127,1.27565,0.000321046,0.000321046,0.000321046
151,15946.3,0.72728,0.61214,1.19157,0.79666,0.66129,0.78611,0.49105,0.93453,0.68675,1.26897,0.000309964,0.000309964,0.000309964
152,16044.6,0.8058,0.67661,1.22155,0.8145,0.65323,0.78865,0.48823,0.94292,0.65281,1.26601,0.000299055,0.000299055,0.000299055
153,16146.5,0.73284,0.59205,1.17238,0.77445,0.67742,0.80713,0.49397,0.92608,0.6329,1.23298,0.000288321,0.000288321,0.000288321
154,16249.6,0.72591,0.61205,1.17888,0.72769,0.67742,0.7872,0.49875,0.90336,0.64158,1.20683,0.000277765,0.000277765,0.000277765
155,16345.8,0.80673,0.73187,1.24716,0.76684,0.68964,0.78319,0.50098,0.92036,0.66823,1.23736,0.00026739,0.00026739,0.00026739
156,16444,0.74635,0.60228,1.18266,0.73297,0.70968,0.79717,0.49758,0.91617,0.64234,1.24049,0.000257198,0.000257198,0.000257198
157,16541.7,0.74703,0.6287,1.19829,0.75443,0.70161,0.80209,0.49983,0.9297,0.65154,1.253,0.000247192,0.000247192,0.000247192
158,16634.5,0.72573,0.6208,1.17177,0.74547,0.70161,0.80993,0.50066,0.9297,0.65062,1.23765,0.000237374,0.000237374,0.000237374
159,16732.7,0.7699,0.65487,1.20526,0.77648,0.70041,0.82161,0.50219,0.93484,0.65065,1.24615,0.000227747,0.000227747,0.000227747
160,16836.3,0.67726,0.55408,1.13985,0.76108,0.71932,0.80004,0.49874,0.94994,0.63617,1.26279,0.000218312,0.000218312,0.000218312
161,16932.4,0.76263,0.63422,1.17586,0.75495,0.69355,0.78427,0.5012,0.92682,0.61539,1.24389,0.000209073,0.000209073,0.000209073
162,17033.3,0.7287,0.60966,1.16846,0.753,0.67742,0.77976,0.49369,0.94533,0.61145,1.26217,0.000200032,0.000200032,0.000200032
163,17130.1,0.76702,0.64724,1.17312,0.7483,0.71928,0.80506,0.49601,0.94748,0.60836,1.2717,0.00019119,0.00019119,0.00019119
164,17224.6,0.73906,0.6296,1.18573,0.76934,0.71774,0.80373,0.50057,0.95297,0.61751,1.27823,0.000182551,0.000182551,0.000182551
165,17322.1,0.69322,0.57714,1.17302,0.79395,0.70968,0.80546,0.50023,0.96138,0.62746,1.29626,0.000174115,0.000174115,0.000174115
166,17419.6,0.7256,0.60081,1.18251,0.80914,0.71795,0.81362,0.50049,0.95331,0.61081,1.28806,0.000165886,0.000165886,0.000165886
167,17516.5,0.77034,0.6092,1.19796,0.79242,0.73888,0.82754,0.49827,0.9422,0.60652,1.2732,0.000157865,0.000157865,0.000157865
168,17613,0.74306,0.57986,1.18857,0.78431,0.73387,0.82076,0.49557,0.95542,0.62209,1.28727,0.000150055,0.000150055,0.000150055
169,17709,0.8078,0.69223,1.2188,0.7879,0.73387,0.82482,0.49715,0.93468,0.61653,1.25368,0.000142456,0.000142456,0.000142456
170,17804.5,0.69711,0.59232,1.13953,0.83201,0.71774,0.83209,0.51026,0.92258,0.60269,1.24241,0.000135072,0.000135072,0.000135072
171,17900.3,0.71492,0.58065,1.17171,0.7964,0.70968,0.81784,0.5069,0.91107,0.6068,1.22979,0.000127904,0.000127904,0.000127904
172,17993.3,0.76232,0.6303,1.21042,0.78083,0.70968,0.80935,0.50332,0.91504,0.60771,1.2445,0.000120953,0.000120953,0.000120953
173,18088.3,0.76645,0.63787,1.21243,0.78665,0.71364,0.80452,0.50367,0.92601,0.61281,1.26325,0.000114221,0.000114221,0.000114221
174,18179.3,0.68103,0.58423,1.14673,0.77509,0.72581,0.80795,0.50662,0.9284,0.60686,1.26319,0.000107711,0.000107711,0.000107711
175,18280.6,0.71096,0.58205,1.17773,0.75686,0.69355,0.80511,0.50312,0.92041,0.60226,1.24825,0.000101423,0.000101423,0.000101423
176,18374,0.68967,0.54308,1.15884,0.74314,0.70968,0.80233,0.50931,0.91272,0.60075,1.23997,9.53593e-05,9.53593e-05,9.53593e-05
177,18472,0.72682,0.60019,1.17165,0.76434,0.73239,0.81034,0.50485,0.92465,0.62515,1.25184,8.95213e-05,8.95213e-05,8.95213e-05
